city,total,otomobil
ADANA,715407,364692
ADIYAMAN,115283,53868
AFYONKARAHİSAR,238746,94266
AĞRI,30687,8722
AMASYA,126447,63718
ANKARA,2284765,1672663
ANTALYA,1223750,585313
ARTVİN,41992,17537
AYDIN,499556,197438
BALIKESİR,520785,227178
BİLECİK,73228,35317
BİNGÖL,17969,8624
BİTLİS,22743,8030
BOLU,121657,59426
BURDUR,142655,57567
BURSA,1003656,567222
ÇANAKKALE,248902,99172
ÇANKIRI,55877,22526
ÇORUM,181209,85294
DENİZLİ,446868,216325
DİYARBAKIR,129330,54997
EDİRNE,169114,72934
ELAZIĞ,137839,79145
ERZİNCAN,63247,30327
ERZURUM,123373,61811
ESKİŞEHİR,309301,180260
GAZİANTEP,571198,256667
GİRESUN,99106,46143
GÜMÜŞHANE,26057,11389
HAKKARİ,8944,2212
HATAY,531399,234884
ISPARTA,190330,87340
MERSİN,677188,308592
İSTANBUL,4669113,3178321
İZMİR,1578079,865694
KARS,45867,12232
KASTAMONU,139061,65175
KAYSERİ,409869,256480
KIRKLARELİ,140482,64103
KIRŞEHİR,71770,40242
KOCAELİ,445165,265111
KONYA,776341,378924
KÜTAHYA,221266,110362
MALATYA,194609,105000
MANİSA,634963,231484
KAHRAMANMARAŞ,259411,148009
MARDİN,79841,24644
MUĞLA,557341,228082
MUŞ,34256,9195
NEVŞEHİR,131041,57765
NİĞDE,114445,50670
ORDU,152181,83332
RİZE,86055,37285
SAKARYA,313246,160572
SAMSUN,400030,198532
SİİRT,20906,7003
SİNOP,63374,32888
SİVAS,170965,89759
TEKİRDAĞ,289642,153568
TOKAT,193395,89473
TRABZON,220473,123012
TUNCELİ,10106,3954
ŞANLIURFA,264091,95287
UŞAK,146371,70923
VAN,76579,27584
YOZGAT,111075,50083
ZONGULDAK,163207,99364
AKSARAY,136357,70438
BAYBURT,16229,7023
KARAMAN,95850,38667
KIRIKKALE,69720,41426
BATMAN,47842,16106
ŞIRNAK,29555,5492
BARTIN,54322,30692
ARDAHAN,18899,3817
IĞDIR,28680,6497
YALOVA ,71589,38658
KARABÜK,68474,41918
KİLİS ,50294,11449
OSMANİYE,179776,89080
DÜZCE,121126,60698
